Kuu,Maakond,Pindala(m2),Arv,Pindala(m2) Kokku,Pindala(m2) Keskmine,Tehingu summa (eur) Kokku,Tehingu summa (eur) Minimaalne,Tehingu summa (eur) Maksimaalne,Pinnaühiku hind(eur /m2) Minimaalne,Pinnaühiku hind(eur /m2) Maksimaalne,Pinnaühiku hind(eur /m2) Mediaan,Pinnaühiku hind(eur /m2) Keskmine,Pinnaühiku hind(eur /m2) Standardhälve
2005-07-01,Rapla maakond,"70-249,99",5,386,77.2,126865,9587,38347,124.18,546.25,322.45,331.93,153.02
2005-07-01,Saare maakond,"10-29,99",2,42.8,21.4,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Saare maakond,"30-40,99",6,225.3,37.55,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Saare maakond,"41-54,99",11,526.1,47.83,235859,7989,43357,159.78,1054.92,411.5,459.8,243.82
2005-07-01,Saare maakond,"55-69,99",8,499.6,62.45,158501,1598,38027,26.15,598.86,287.12,317.8,221.25
2005-07-01,Saare maakond,"70-249,99",7,676.3,96.61,307415,12782,95867,152.9,671.64,437.75,437.41,170.58
2005-07-01,Tartu maakond,"10-29,99",33,749.2,22.7,460420,1278,31956,62.66,1890.88,611.43,623.22,324.43
2005-07-01,Tartu maakond,"30-40,99",57,1988.8,34.89,1250836,639,46016,19.54,1182.37,665.83,625.8,260.31
2005-07-01,Tartu maakond,"41-54,99",87,4091.7,47.03,2468874,639,54644,14.9,1117.47,625.22,602.31,228.86
2005-07-01,Tartu maakond,"55-69,99",73,4471.9,61.26,2699845,639,60716,10.39,996.98,620.8,607.88,171.54
2005-07-01,Tartu maakond,"70-249,99",47,4157.7,88.46,2212864,639,75416,6.71,897.86,657.41,554.32,198.86
2005-07-01,Valga maakond,"10-29,99",4,100.9,25.23,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Valga maakond,"30-40,99",5,170,34,13613,959,4474,28.53,134.75,87.3,79.31,44.05
2005-07-01,Valga maakond,"41-54,99",10,476.4,47.64,40328,1278,9587,26.74,216.89,44.84,86.48,72.42
2005-07-01,Valga maakond,"55-69,99",7,448.6,64.09,40903,2237,11504,33.34,171.45,93.99,90.38,44.95
2005-07-01,Valga maakond,"70-249,99",4,358.6,89.65,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Viljandi maakond,"10-29,99",1,29.8,29.8,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Viljandi maakond,"30-40,99",4,149.4,37.35,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Viljandi maakond,"41-54,99",15,719.1,47.94,226311,639,25565,12.46,512.32,361.24,314.34,145.25
2005-07-01,Viljandi maakond,"55-69,99",11,706.3,64.21,171731,1278,29719,20.1,497.8,338.59,243.17,172.16
2005-07-01,Viljandi maakond,"70-249,99",4,373.3,93.33,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Võru maakond,"10-29,99",4,101.6,25.4,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Võru maakond,"30-40,99",2,72.8,36.4,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Võru maakond,"41-54,99",4,182,45.5,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Võru maakond,"55-69,99",2,120.8,60.4,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,Võru maakond,KÕIK KOKKU,NA,122751.5,53.89,86441078,121,734984,2.49,6727.54,698.06,684.19,438.01
