Kuu,Maakond,Pindala(m2),Arv,Pindala(m2) Kokku,Pindala(m2) Keskmine,Tehingu summa (eur) Kokku,Tehingu summa (eur) Minimaalne,Tehingu summa (eur) Maksimaalne,Pinnaühiku hind(eur /m2) Minimaalne,Pinnaühiku hind(eur /m2) Maksimaalne,Pinnaühiku hind(eur /m2) Mediaan,Pinnaühiku hind(eur /m2) Keskmine,Pinnaühiku hind(eur /m2) Standardhälve
2007-09-01,Jõgeva maakond,"30-40,99",2,74.8,37.4,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Jõgeva maakond,"41-54,99",3,134.9,44.97,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Jõgeva maakond,"55-69,99",6,364.6,60.77,82446,1278,25884,22.39,403.81,268.11,222.99,145.31
2007-09-01,Jõgeva maakond,"70-249,99",2,150,75,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Järva maakond,"10-29,99",3,83.2,27.73,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Järva maakond,"30-40,99",9,322.5,35.83,142467,2820,31317,91.28,844.12,505.42,438.91,267.4
2007-09-01,Järva maakond,"41-54,99",21,967,46.05,230146,639,38283,15.33,784.49,78.98,225.46,266.44
2007-09-01,Järva maakond,"55-69,99",11,732,66.55,145016,1598,40264,24.51,717.72,147.42,205.51,200.73
2007-09-01,Järva maakond,"70-249,99",5,378.2,75.64,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Lääne maakond,"10-29,99",4,105.7,26.43,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Lääne maakond,"30-40,99",12,430.2,35.85,339166,12782,36430,389.71,926.96,824.38,782.4,149.69
2007-09-01,Lääne maakond,"41-54,99",11,517.2,47.02,533448,16617,131019,379.38,2652.2,872.11,1009.98,633.8
2007-09-01,Lääne maakond,"55-69,99",12,758.1,63.18,401241,6391,126622,103.25,1972.3,372.12,529.61,506.07
2007-09-01,Lääne maakond,"70-249,99",6,448.6,74.77,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Lääne-Viru maakond,"10-29,99",6,155.7,25.95,76374,639,31956,23.41,1359.82,289.42,522.41,505.61
2007-09-01,Lääne-Viru maakond,"30-40,99",7,251.8,35.97,138737,7669,31956,188.9,998.62,526.93,564.01,269.46
2007-09-01,Lääne-Viru maakond,"41-54,99",31,1472.4,47.5,639244,1598,49212,37.24,1018.88,433.91,431.16,296.46
2007-09-01,Lääne-Viru maakond,"55-69,99",18,1136.3,63.13,571185,1598,62633,27.55,1008.59,497.04,504.83,360.41
2007-09-01,Lääne-Viru maakond,"70-249,99",12,1020.7,85.06,445356,511,140606,7.14,1685.92,181.48,452.22,488.71
2007-09-01,Põlva maakond,"10-29,99",3,81.1,27.03,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Põlva maakond,"30-40,99",2,76,38,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Põlva maakond,"41-54,99",6,290.5,48.42,115361,4474,24286,91.12,527.97,469.69,400.12,163.34
2007-09-01,Põlva maakond,"55-69,99",7,436.1,62.3,166490,19173,31956,293.62,489.37,361.41,382.71,73.81
2007-09-01,Põlva maakond,"70-249,99",6,487.4,81.23,238710,7669,95867,97.95,973.27,486.86,467.59,321.47
2007-09-01,Pärnu maakond,"10-29,99",6,147.5,24.58,100980,1278,31317,66.57,1186.24,697.63,649.93,481.26
2007-09-01,Pärnu maakond,"30-40,99",19,690,36.32,679917,7669,69961,212.45,1850.81,1014.47,979.44,456.89
2007-09-01,Pärnu maakond,"41-54,99",38,1765,46.45,1688858,703,115041,16.78,2391.7,977.04,947.6,476.66
2007-09-01,Pärnu maakond,"55-69,99",24,1483,61.79,1492800,4474,143801,77.4,2120.96,957.01,998.62,530.75
2007-09-01,Pärnu maakond,"70-249,99",10,977.7,97.77,811013,26843,181100,278.74,1514.31,715.01,851.32,428.23
2007-09-01,Rapla maakond,"10-29,99",3,72.9,24.3,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Rapla maakond,"30-40,99",4,134.3,33.58,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Rapla maakond,"41-54,99",12,590.8,49.23,267279,4474,52408,94.38,1073.93,292.7,445.29,340.08
2007-09-01,Rapla maakond,"55-69,99",12,777.2,64.77,264850,3515,73498,60.19,1105.24,222.08,338.72,298.61
2007-09-01,Rapla maakond,"70-249,99",7,555,79.29,245549,9715,67107,101.19,955.94,393.06,460.82,289.96
2007-09-01,Saare maakond,"30-40,99",3,110,36.67,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Saare maakond,"41-54,99",6,294.78,49.13,281120,30678,74046,728.68,1416.34,890.22,944.37,257.41
2007-09-01,Saare maakond,"55-69,99",2,129.9,64.95,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Saare maakond,"70-249,99",3,259.9,86.63,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Tartu maakond,"10-29,99",26,558.2,21.47,580124,456,60716,26.97,2100.9,1162.71,993.72,504.99
2007-09-01,Tartu maakond,"30-40,99",60,2069.3,34.49,2227704,2876,63592,74.9,1605.86,1162.9,1078.65,394.08
2007-09-01,Tartu maakond,"41-54,99",76,3603.25,47.41,3598163,639,115041,12.99,2585.19,1022.69,999.14,509.06
2007-09-01,Tartu maakond,"55-69,99",57,3580.78,62.82,4008359,12143,118237,194.92,1900.91,1082.89,1127.27,380.66
2007-09-01,Tartu maakond,"70-249,99",34,3228.09,94.94,3658701,3196,236473,45.59,2502.86,1128.1,1139.99,404.16
2007-09-01,Valga maakond,"10-29,99",7,164.3,23.47,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Valga maakond,"30-40,99",10,383.7,38.37,120473,1917,25565,62.86,653.83,230.49,312.15,209.88
2007-09-01,Valga maakond,"41-54,99",10,469.5,46.95,216277,383,142076,8.43,3236.35,185.43,477.23,978.84
2007-09-01,Valga maakond,"55-69,99",9,584.6,64.96,188092,511,35151,7.59,545.83,475.94,328.86,220.74
2007-09-01,Valga maakond,"70-249,99",3,220,73.33,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Viljandi maakond,"10-29,99",9,224.3,24.92,117086,1406,19173,59.58,837.27,566.44,540.05,276.28
2007-09-01,Viljandi maakond,"30-40,99",7,274.4,39.2,177513,639,38347,16.6,968.36,848.83,646.35,362.23
2007-09-01,Viljandi maakond,"41-54,99",9,437.7,48.63,156839,4793,35151,109.19,693.18,350.52,352.46,235.87
2007-09-01,Viljandi maakond,"55-69,99",12,769.5,64.13,469866,4154,90550,67.44,1406.06,572.04,603.23,471.12
2007-09-01,Viljandi maakond,"70-249,99",8,692.8,86.6,342566,7669,101620,93.87,882.88,438.96,475.43,227.88
2007-09-01,Võru maakond,"10-29,99",7,160.1,22.87,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Võru maakond,"30-40,99",8,273.8,34.23,126865,2237,24926,65.22,798.9,571.29,466.26,273.05
2007-09-01,Võru maakond,"41-54,99",7,313.6,44.8,126168,320,59380,7.5,1209.37,224.51,384.96,430.18
2007-09-01,Võru maakond,"55-69,99",9,561.3,62.37,311250,6072,54325,92.98,862.3,560.16,556.52,205.47
2007-09-01,Võru maakond,"70-249,99",4,290.2,72.55,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,Võru maakond,KÕIK KOKKU,NA,91524.22,53.43,103582194,128,762146,2.69,5390,1076.33,1098.87,714.8
2007-10-01,Harju maakond,"10-29,99",95,2008.95,21.15,2831673,383,99063,19.56,3550.65,1411.55,1395.42,549.62
2007-10-01,Harju maakond,"30-40,99",174,6118.96,35.17,8730215,165,166503,4.23,4985.11,1464.82,1423.03,650.25
2007-10-01,Harju maakond,"41-54,99",263,12509.56,47.56,18314384,6391,255736,140.47,4965.75,1494.51,1464.55,621.61
2007-10-01,Harju maakond,"55-69,99",229,14367.17,62.74,19678085,639,194931,10.41,2967.33,1396.87,1373.94,503.73
2007-10-01,Harju maakond,"70-249,99",205,19187.82,93.6,27481096,3709,511529,21.6,3204.79,1544.68,1454.92,601.6
2007-10-01,Hiiu maakond,"10-29,99",1,23.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Hiiu maakond,"30-40,99",2,74.2,37.1,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Hiiu maakond,"41-54,99",1,50.2,50.2,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Hiiu maakond,"55-69,99",1,56.4,56.4,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Ida-Viru maakond,"10-29,99",18,450.1,25.01,267470,320,28760,20.75,1050.19,740.22,600.22,348.41
2007-10-01,Ida-Viru maakond,"30-40,99",40,1411.5,35.29,577825,383,43779,11.98,1202.73,374.56,410.71,295.66
2007-10-01,Ida-Viru maakond,"41-54,99",53,2527.1,47.68,1033709,32,54325,0.64,1149.49,362.99,410.82,329.67
2007-10-01,Ida-Viru maakond,"55-69,99",29,1772,61.1,853342,3196,73498,49.24,1189.29,392.35,481.78,326.23
2007-10-01,Ida-Viru maakond,"70-249,99",12,975.4,81.28,531618,4474,119817,62.66,1030.79,440.54,508,330.84
2007-10-01,Jõgeva maakond,"30-40,99",3,107.7,35.9,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Jõgeva maakond,"41-54,99",11,530.1,48.19,59054,639,11185,13.92,269.51,90.02,111.46,89.49
2007-10-01,Jõgeva maakond,"55-69,99",10,630.6,63.06,219856,3196,33873,49.85,545.46,353.87,351.28,165.9
2007-10-01,Jõgeva maakond,"70-249,99",9,743.4,82.6,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Järva maakond,"10-29,99",2,54.7,27.35,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Järva maakond,"30-40,99",5,192.3,38.46,113763,5113,35151,130.77,960.42,586.78,593.72,315.8
2007-10-01,Järva maakond,"41-54,99",5,223.8,44.76,138049,639,44738,14.9,1057.64,672.75,615.7,378.27
2007-10-01,Järva maakond,"55-69,99",7,444.6,63.51,284637,8948,58070,160.93,903.11,711.21,634.08,269.78
2007-10-01,Järva maakond,"70-249,99",4,310.6,77.65,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Lääne maakond,"30-40,99",5,185.9,37.18,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Lääne maakond,"41-54,99",19,926.1,48.74,577346,447,65430,10.03,1209.42,806,606.12,435.04
2007-10-01,Lääne maakond,"55-69,99",6,369.5,61.58,56148,1182,36431,19.23,638.03,26.37,155.76,247.03
2007-10-01,Lääne maakond,"70-249,99",3,225.3,75.1,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Lääne-Viru maakond,"10-29,99",7,157.7,22.53,120473,5432,35663,405.41,1287.46,598.5,727.75,289.8
2007-10-01,Lääne-Viru maakond,"30-40,99",11,406.9,36.99,134655,959,38347,24.97,1044.88,266.3,330.45,268.17
2007-10-01,Lääne-Viru maakond,"41-54,99",22,1068.9,48.59,567024,2556,67746,51.33,1278.23,422.51,524.6,358.67
2007-10-01,Lääne-Viru maakond,"55-69,99",14,861.4,61.53,623011,639,140606,9.33,2231.84,715.77,721.85,636.11
2007-10-01,Lääne-Viru maakond,"70-249,99",11,834.3,75.85,261974,447,65190,6.25,827.28,163.46,308.84,303.39
2007-10-01,Põlva maakond,"10-29,99",1,27.4,27.4,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Põlva maakond,"30-40,99",6,216.7,36.12,51768,1278,14061,32.36,417.23,254.26,244.21,166.74
2007-10-01,Põlva maakond,"41-54,99",4,192.8,48.2,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Põlva maakond,"55-69,99",4,246.2,61.55,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Põlva maakond,"70-249,99",4,324.1,81.03,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Pärnu maakond,"10-29,99",5,109.6,21.92,116575,12782,37388,606.28,1416.22,1264.44,1066.81,383.51
2007-10-01,Pärnu maakond,"30-40,99",16,591.3,36.96,634809,1917,69025,51.27,1972.13,1219.46,1073.93,494.08
2007-10-01,Pärnu maakond,"41-54,99",34,1617.2,47.56,1509978,959,97785,17.89,1807.48,1093.43,928.62,511.58
2007-10-01,Pärnu maakond,"55-69,99",23,1426.5,62.02,1410981,1917,125267,27.95,1810.21,940.19,986.12,548.04
2007-10-01,Pärnu maakond,"70-249,99",15,1431.6,95.44,1245478,12782,178953,111.83,1627.89,983.26,927.93,558.6
2007-10-01,Rapla maakond,"10-29,99",5,130.6,26.12,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Rapla maakond,"30-40,99",7,247.3,35.33,126226,639,35151,15.98,1071.69,378.18,527.12,386.28
2007-10-01,Rapla maakond,"41-54,99",16,773.4,48.34,511677,1087,49851,22.64,1092.44,645.89,656.99,295.53
2007-10-01,Rapla maakond,"55-69,99",15,981.6,65.44,394591,1598,57520,23.5,859.8,343.21,401.34,247.2
2007-10-01,Rapla maakond,"70-249,99",4,318,79.5,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Saare maakond,"10-29,99",3,76.9,25.63,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Saare maakond,"30-40,99",5,186.2,37.24,133801,959,41543,24.09,1327.24,942.7,738.13,505.32
2007-10-01,Saare maakond,"41-54,99",8,388,48.5,281603,13549,56881,261.57,1130.84,771.83,727.95,292.16
2007-10-01,Saare maakond,"55-69,99",8,477.2,59.65,464702,23328,79890,348.18,1391.8,1029.91,989.15,315.73
2007-10-01,Saare maakond,"70-249,99",2,148.9,74.45,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Tartu maakond,"10-29,99",34,751.2,22.09,843250,511,47934,34.12,1875.67,1168.83,1135.43,453.25
2007-10-01,Tartu maakond,"30-40,99",35,1216.3,34.75,1419478,3196,85642,98.33,2302.19,1186.48,1160.97,432.47
2007-10-01,Tartu maakond,"41-54,99",73,3410.5,46.72,3364218,64,84044,1.53,1807.39,1017.8,981.95,337.59
2007-10-01,Tartu maakond,"55-69,99",61,3803.1,62.35,4383283,15978,220348,245.06,3193.46,1153.25,1146.03,414
2007-10-01,Tartu maakond,"70-249,99",39,3709.46,95.11,4061482,9587,200043,133.33,1840.33,1119.01,1077.99,368.09
2007-10-01,Valga maakond,"10-29,99",3,69.4,23.13,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Valga maakond,"30-40,99",11,395.2,35.93,344676,192,166170,6.15,4092.86,330.29,823.72,1208.65
2007-10-01,Valga maakond,"41-54,99",13,610.3,46.95,155241,320,31317,7.76,618.5,198.48,247.2,230.5
2007-10-01,Valga maakond,"55-69,99",4,242.4,60.6,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Valga maakond,"70-249,99",4,308.5,77.13,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Viljandi maakond,"10-29,99",3,84.3,28.1,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Viljandi maakond,"30-40,99",8,293.9,36.74,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Viljandi maakond,"41-54,99",13,623.2,47.94,136451,959,31636,19.56,627.7,145.58,212.57,181.66
2007-10-01,Viljandi maakond,"55-69,99",9,560.4,62.27,352728,4793,70303,85.14,1018.88,614.5,625.96,322.64
2007-10-01,Viljandi maakond,"70-249,99",9,777.2,86.36,368578,1087,83085,14.31,1021.96,575.38,475.4,350.76
2007-10-01,Võru maakond,"10-29,99",1,17.3,17.3,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Võru maakond,"30-40,99",4,137.1,34.28,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Võru maakond,"41-54,99",11,530.1,48.19,251876,575,53047,14.03,1076,402.5,473.47,341.45
2007-10-01,Võru maakond,"55-69,99",6,377.8,62.97,197807,3835,45697,60.2,715.13,664.79,526.08,269.56
2007-10-01,Võru maakond,"70-249,99",2,153.1,76.55,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,Võru maakond,KÕIK KOKKU,NA,97788.92,54.18,108414978,32,511529,0.64,4985.11,1149.49,1096.3,661.31
2007-11-01,Harju maakond,"10-29,99",90,1858.05,20.65,2681197,3835,87559,135.98,3040.24,1453.82,1445.82,534.79
2007-11-01,Harju maakond,"30-40,99",156,5454.31,34.96,7977968,383,123989,9.61,3333.03,1481.23,1463.88,546.72
2007-11-01,Harju maakond,"41-54,99",266,12708.97,47.78,18314873,511,255647,12.09,4769.53,1408.38,1437.59,564.18
2007-11-01,Harju maakond,"55-69,99",220,13712.73,62.33,19370832,3209,223691,57.1,3843.48,1372.1,1415.95,583.06
2007-11-01,Harju maakond,"70-249,99",156,14837.84,95.11,24139980,24286,894763,320.82,5300.73,1578.96,1644.81,708.51
2007-11-01,Hiiu maakond,"30-40,99",1,38.6,38.6,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Hiiu maakond,"41-54,99",1,46,46,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Hiiu maakond,"70-249,99",1,95.4,95.4,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Ida-Viru maakond,"10-29,99",18,453.3,25.18,282489,959,28121,35.77,979.83,730.35,631.61,313.95
2007-11-01,Ida-Viru maakond,"30-40,99",45,1638.9,36.42,502833,529,34512,13.59,1004.9,219.54,312.75,277.77
2007-11-01,Ida-Viru maakond,"41-54,99",39,1879.9,48.2,598636,383,37708,7.73,804.01,298.77,319.18,222.22
2007-11-01,Ida-Viru maakond,"55-69,99",36,2234.6,62.07,1071999,128,64048,2.04,976.35,474.94,483.42,309.66
2007-11-01,Ida-Viru maakond,"70-249,99",15,1260,84,795482,6391,117061,54.95,1214.32,620.15,630.17,305.61
2007-11-01,Jõgeva maakond,"10-29,99",3,64.2,21.4,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Jõgeva maakond,"30-40,99",1,40,40,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Jõgeva maakond,"41-54,99",11,520.3,47.3,60460,383,15978,7.53,352.71,69.02,118.2,131.65
2007-11-01,Jõgeva maakond,"55-69,99",9,572.6,63.62,178505,128,40264,2.2,624.25,309.25,310.22,223.34
2007-11-01,Jõgeva maakond,"70-249,99",5,419.4,83.88,56562,320,19173,4.17,224.41,165.72,135.3,98.6
2007-11-01,Järva maakond,"30-40,99",8,287,35.88,148275,8628,25565,280.13,735.89,575.66,509.35,188.12
2007-11-01,Järva maakond,"41-54,99",11,510.2,46.38,253487,1995,44738,41.13,1057.64,577.44,507.38,289.13
2007-11-01,Järva maakond,"55-69,99",17,1080.4,63.55,460777,3196,58070,52.13,903.11,435.76,431.17,248.1
2007-11-01,Järva maakond,"70-249,99",6,470.4,78.4,53750,1278,30358,18.26,393.75,68.44,114.78,138.95
2007-11-01,Lääne maakond,"30-40,99",10,359.3,35.93,266678,7030,38347,223.18,1036.41,853.16,721.22,315.8
2007-11-01,Lääne maakond,"41-54,99",5,239.4,47.88,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Lääne maakond,"55-69,99",7,452.5,64.64,270247,19173,61256,283.21,880.12,598.52,596.64,204.3
2007-11-01,Lääne maakond,"70-249,99",2,160.6,80.3,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Lääne-Viru maakond,"10-29,99",4,96.8,24.2,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Lääne-Viru maakond,"30-40,99",15,549.9,36.66,297125,639,43652,16.35,1379.68,347.52,555.68,421.34
2007-11-01,Lääne-Viru maakond,"41-54,99",23,1068.8,46.47,590125,320,89476,6.99,1747.58,538.2,534.07,450.44
2007-11-01,Lääne-Viru maakond,"55-69,99",19,1181,62.16,520484,882,57520,15.21,938.34,392.44,438.52,286.81
2007-11-01,Lääne-Viru maakond,"70-249,99",9,740.2,82.24,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Põlva maakond,"10-29,99",1,20.9,20.9,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Põlva maakond,"30-40,99",4,148.4,37.1,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Põlva maakond,"41-54,99",10,481.2,48.12,164445,511,37069,10.14,814.7,301.41,345.05,250.48
2007-11-01,Põlva maakond,"55-69,99",8,521.2,65.15,229762,9587,56242,146.54,893.72,404.25,446.04,303.12
2007-11-01,Põlva maakond,"70-249,99",7,541.5,77.36,211415,3835,69664,50.06,885.18,323.6,389.29,292.42
2007-11-01,Pärnu maakond,"10-29,99",6,152.75,25.46,105096,6391,31317,235.84,1209.68,581.12,690.95,400.45
2007-11-01,Pärnu maakond,"30-40,99",15,563.4,37.56,494861,383,65509,9.76,1697.14,992.88,881.74,406.78
2007-11-01,Pärnu maakond,"41-54,99",35,1664.67,47.56,1553884,639,108650,12.06,2234.67,1021.48,929.77,566
2007-11-01,Pärnu maakond,"55-69,99",21,1320.3,62.87,1217517,1598,187261,23.95,2991.39,871.97,924.66,716.12
2007-11-01,Pärnu maakond,"70-249,99",8,605.5,75.69,302423,1598,88198,20.62,1231.82,385.42,506.1,479.73
2007-11-01,Rapla maakond,"10-29,99",3,82.5,27.5,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Rapla maakond,"30-40,99",7,246.5,35.21,104815,639,30358,21.3,903.51,355.99,425.29,312.26
2007-11-01,Rapla maakond,"41-54,99",11,520.7,47.34,234939,1278,56881,25.26,1075.26,578.91,445.93,313.48
2007-11-01,Rapla maakond,"55-69,99",3,173.1,57.7,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Rapla maakond,"70-249,99",2,151.7,75.85,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Saare maakond,"10-29,99",1,28.5,28.5,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Saare maakond,"30-40,99",1,39.6,39.6,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Saare maakond,"41-54,99",5,239.6,47.92,148211,3515,44099,81.94,841.58,736.97,602.42,318.12
2007-11-01,Saare maakond,"55-69,99",6,355.32,59.22,399320,44738,104304,768.7,1553.99,1141.08,1114.25,276.9
2007-11-01,Saare maakond,"70-249,99",1,92.5,92.5,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Tartu maakond,"10-29,99",26,522.2,20.08,563365,1406,49212,123.34,2025.18,998.74,1025.7,443.57
2007-11-01,Tartu maakond,"30-40,99",34,1185.1,34.86,1348660,3196,72220,80.09,1946.64,1054.54,1140.24,349.32
2007-11-01,Tartu maakond,"41-54,99",49,2323.4,47.42,2398971,6391,95867,122.2,2075.05,1022.04,1036.64,378.87
2007-11-01,Tartu maakond,"55-69,99",41,2576.1,62.83,2678904,18215,102394,290.97,1640.4,1033.12,1041.2,293.43
2007-11-01,Tartu maakond,"70-249,99",24,2196.9,91.54,2173152,19173,263955,253.28,1999.51,975.06,962.39,401.03
2007-11-01,Valga maakond,"10-29,99",4,108.1,27.03,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Valga maakond,"30-40,99",6,219.3,36.55,98552,5113,50490,144.84,1426.28,255.01,454.1,484.52
2007-11-01,Valga maakond,"41-54,99",14,666.7,47.62,227334,447,72540,9.44,1498.75,315.55,337.05,366.61
2007-11-01,Valga maakond,"55-69,99",2,126.6,63.3,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Valga maakond,"70-249,99",4,306.1,76.53,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Viljandi maakond,"10-29,99",2,55,27.5,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Viljandi maakond,"30-40,99",3,111.2,37.07,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Viljandi maakond,"41-54,99",18,837.3,46.52,291118,320,48892,7.43,1022.89,112.77,349.48,383.68
2007-11-01,Viljandi maakond,"55-69,99",12,760.1,63.34,324991,1278,88837,22.27,1381.6,370.59,423.73,424.26
2007-11-01,Viljandi maakond,"70-249,99",6,458,76.33,213139,9580,70303,121.58,940.41,354.69,474.15,364.9
2007-11-01,Võru maakond,"10-29,99",4,102.7,25.68,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Võru maakond,"30-40,99",6,202.2,33.7,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,Võru maakond,"41-54,99",10,471.7,47.17,198701,4793,35918,100.02,833.37,467.58,425.49,295.97
2007-11-01,Võru maakond,"55-69,99",9,567.2,63.02,278527,2429,65190,41.8,1068.69,467.65,484.15,407.97
2007-11-01,Võru maakond,"70-249,99",7,528.5,75.5,59447,320,25884,4.09,365.6,22.1,115.33,162.35
2007-12-01,Harju maakond,"10-29,99",57,1260.95,22.12,1783871,3886,92672,137.8,4392.03,1447.66,1408.61,815.63
2007-12-01,Harju maakond,"30-40,99",121,4281.5,35.38,6179939,6391,111845,192.5,3098.21,1497.66,1446.72,527.96
2007-12-01,Harju maakond,"41-54,99",234,11210.05,47.91,16007882,2556,422456,54.98,8001.06,1356.94,1430.08,821.18
2007-12-01,Harju maakond,"55-69,99",195,12258.72,62.87,17792675,18534,226504,297.39,3306.63,1370.91,1452.77,537.43
2007-12-01,Harju maakond,"70-249,99",136,13454.3,98.93,22820335,9217,1015171,120.17,9007.73,1520.15,1642.67,1008.56
2007-12-01,Hiiu maakond,"10-29,99",1,19.2,19.2,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Ida-Viru maakond,"10-29,99",11,296,26.91,188092,3515,24286,128.29,886.37,729.03,640.02,257.32
2007-12-01,Ida-Viru maakond,"30-40,99",31,1111.3,35.85,462009,639,40264,17.18,1112.27,311.76,421.6,305
2007-12-01,Ida-Viru maakond,"41-54,99",44,2138.2,48.6,921457,639,41543,13.86,984.42,383.15,429.87,275.23
2007-12-01,Ida-Viru maakond,"55-69,99",27,1647.1,61,871081,1278,77014,22.15,1205.22,403.77,527.04,347.96
2007-12-01,Ida-Viru maakond,"70-249,99",21,1794.6,85.46,1496501,3196,163933,36.73,1348.14,1037.53,819.77,439.97
2007-12-01,Jõgeva maakond,"30-40,99",3,105.9,35.3,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Jõgeva maakond,"41-54,99",1,42.3,42.3,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Jõgeva maakond,"55-69,99",5,323.9,64.78,204262,383,134214,5.79,1950.79,309.81,611.15,768.51
2007-12-01,Jõgeva maakond,"70-249,99",3,231.3,77.1,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Järva maakond,"30-40,99",6,225.8,37.63,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Järva maakond,"41-54,99",6,297.6,49.6,95548,10226,24286,208.97,497.67,262.82,320.31,135.95
2007-12-01,Järva maakond,"55-69,99",6,386.4,64.4,139327,4474,51129,66.87,796.41,333.44,364.88,240.77
2007-12-01,Järva maakond,"70-249,99",3,235,78.33,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Lääne maakond,"10-29,99",2,46.7,23.35,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Lääne maakond,"30-40,99",7,248.2,35.46,161102,6391,31943,159.38,959.25,815.92,671.2,336.51
2007-12-01,Lääne maakond,"41-54,99",9,431.6,47.96,404177,28760,140606,626.58,2628.14,710.13,909.98,647.23
2007-12-01,Lääne maakond,"55-69,99",4,253.5,63.38,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Lääne maakond,"70-249,99",5,510,102,664565,54325,238582,713.86,2202.97,957.88,1215.13,600.95
2007-12-01,Lääne-Viru maakond,"10-29,99",7,170.1,24.3,148595,320,49532,22.5,1656.57,897.93,767.1,672.3
